condition,k,availability_mean,rps_mean,fps_mean,p50_ms_mean,p95_ms_mean,p99_ms_mean,avg_ms_mean,mean_latency_ms_jsonl_mean,mean_max_subread_ms_mean,mean_mean_subread_ms_mean,corr_latency_vs_maxsubread_mean,availability_std,rps_std,fps_std,p50_ms_std,p95_ms_std,p99_ms_std,avg_ms_std,mean_latency_ms_jsonl_std,mean_max_subread_ms_std,mean_mean_subread_ms_std,corr_latency_vs_maxsubread_std
Baseline,1,1.0,28.029366820878977,0.0,5.0,7.666666666666667,12.0,5.521309878268294,5.525947655843306,5.204076006749289,5.204076006749289,0.9526811016419129,0.0,0.07454329983002238,0.0,0.0,0.5773502691896257,0.0,0.05161267207379082,0.045581907583762765,0.049032743496997135,0.049032743496997135,0.00897103330311652
Baseline,25,1.0,22.134515610444783,0.0,82.33333333333333,200.0,280.0,95.38111081428912,95.3739805679217,48.31575295728022,33.35416003691546,0.8292612319342628,0.0,0.055968838586054157,0.0,1.5275252316519463,0.0,0.0,1.022413581111611,1.0176830941005335,0.6184259004197733,0.32594479275634275,0.0015322550925540197
Baseline,50,1.0,14.377164523987952,0.0,356.6666666666667,516.6666666666666,606.6666666666666,333.457010011349,333.4705362364518,71.35988603179658,43.20986135710192,0.6296459624380206,0.0,0.12509688672779776,0.0,5.773502691896254,11.547005383792508,37.85938897200182,5.618003910092777,5.623440053448344,0.7937748137836915,0.5116119895332176,0.005932523995623054
Baseline,75,0.9977266425789385,10.529169235427544,0.0239212796309007,616.6666666666666,783.3333333333334,873.3333333333334,583.6250768865069,583.6182038533083,82.93814087702715,47.71222820760308,0.40759879218463674,0.001340625004196052,0.04247396034437373,0.014010802333570263,5.773502691896266,5.773502691896241,32.14550253664317,4.5898955225065325,4.550668176020805,1.1686779515913157,0.3148003206380108,0.002773339159399395
Baseline,100,0.9344897839474129,8.421603249830941,0.5647786478446252,846.6666666666666,1000.0,1100.0,822.3278827801361,821.825558144193,89.94879529743237,49.80232883220597,0.34487097484677315,0.008401624624625873,0.04016562435581954,0.07163009368898197,5.773502691896266,0.0,0.0,6.95540815495583,6.894550330333483,0.48903609326059067,0.14509474629809102,0.009597163951155308
"Latency 100ms, jitter 30ms",1,1.0,22.604833877048208,0.0,6.0,280.0,313.3333333333333,91.58790783231466,91.61003795772403,91.39183757510135,91.39183757510135,0.9999952609423325,0.0,0.03604392095004856,0.0,0.0,0.0,5.773502691896266,1.586719991965569,1.5965198357994854,1.601433917520355,1.601433917520355,2.2887769954671047e-07
"Latency 100ms, jitter 30ms",25,0.9997720364741641,14.628336920975007,0.0033347438376318,330.0,410.0,480.0,331.4241714667037,331.43453159100574,309.43829798440623,112.14298049421348,0.8668830755576776,0.00039484440902025564,0.024519362449153388,0.005775945757005496,0.0,0.0,10.0,0.49243858184865186,0.511084461403425,0.4918122949380877,0.25367228665837693,0.021337556271623023
"Latency 100ms, jitter 30ms",50,0.9970593441065754,11.351438698036555,0.03339045335644533,513.3333333333334,730.0,886.6666666666666,525.1016369016439,525.1170227898871,365.71013022780807,122.30532917087857,0.6753227663714435,0.000751010193774793,0.07497203428703454,0.00835069828472011,5.773502691896266,10.0,25.166114784235834,5.78386156544168,5.7439087500262485,3.865339719358393,1.4455720586519163,0.02324614036503934
"Latency 100ms, jitter 30ms",75,0.9538611073622086,9.201256628835432,0.4149108209603569,710.0,986.6666666666666,1183.3333333333333,730.326056014243,730.2842958523792,386.59117446910267,123.22912861233795,0.6162684172474604,0.037578041214657326,0.39486412904727114,0.33344549069508095,36.05551275463989,120.55427546683417,225.46248764114472,43.95272818470962,43.928766912588614,35.7873488024333,5.777221103109854,0.08132026261959016
"Latency 100ms, jitter 30ms",100,0.6354951403508947,7.548189692563817,2.7480606365090274,956.6666666666666,1266.6666666666667,1600.0,966.8900617554674,966.9222012140073,377.1453270703017,126.05293769872533,0.45852850537491746,0.04274812890856707,0.06976622530399448,0.2975957470500255,11.547005383792532,57.73502691896256,100.0,12.953942605373749,12.914873389071904,32.057952441078506,3.609146156408189,0.09139306107116126
Packet loss 1% / 25,1,1.0,28.15059859788623,0.0,5.0,7.0,8.0,4.779977564008789,4.780455441866793,4.569848254194365,4.569848254194365,0.9646257390688185,0.0,0.056029438393774104,0.0,0.0,0.0,0.0,0.01768456480413415,0.017772089225567098,0.017206746635117006,0.017206746635117006,0.003080842381062543
Packet loss 1% / 25,25,1.0,22.0510716722998,0.0,85.33333333333333,203.33333333333334,263.3333333333333,97.49971136718153,97.51388751551725,48.32364159481332,33.61798447527867,0.8180412542478481,0.0,0.2505856845190231,0.0,4.04145188432738,15.275252316519468,23.094010767585026,4.445666521515487,4.493572067114942,1.357724703311113,0.961800886494566,0.006818176039759655
Packet loss 1% / 25,50,1.0,14.358621551783514,0.0,360.0,513.3333333333334,606.6666666666666,335.067430539276,334.9792041658499,70.83133164486857,42.965892134708106,0.6189047828129522,0.0,0.07074730525980817,0.0,0.0,5.773502691896241,40.41451884327382,2.826823703565054,2.805828512977504,0.10035161618106142,0.0611788442777844,0.004281241552567572
Packet loss 1% / 25,75,0.9975000799383987,11.13659449949217,0.027799255406831664,570.0,730.0,813.3333333333334,534.4817546617018,534.4471733465894,80.3984074932597,45.772929090808674,0.4543188419115534,0.001616498678979178,0.06976059607219548,0.017840710469912188,10.0,10.0,32.14550253664319,4.649193962974092,4.619458151938977,0.4194622237536504,0.14124018068623453,0.0060814233334242655
Packet loss 1% / 25,100,0.959613317924921,8.618489640067073,0.34819421928719546,820.0,986.6666666666666,1133.3333333333333,794.7355156634736,794.6883828055749,87.66440507944854,48.38161394703365,0.3485997838803445,0.0065954792004248005,0.08421201341632821,0.05615744999002002,17.320508075688775,5.773502691896266,57.73502691896261,12.118109382392241,12.185994986924122,1.0962775420130133,0.4984720783702001,0.009753758303117456
