k,condition,run,outcome,count,path
1,Baseline,run_01,ok,16992,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/baseline/run_01
1,Baseline,run_02,ok,16759,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/baseline/run_02
1,Baseline,run_03,ok,16812,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/baseline/run_03
25,Baseline,run_1,ok,19925,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/baseline/run_1
25,Baseline,run_2,ok,19861,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/baseline/run_2
25,Baseline,run_3,ok,19959,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/baseline/run_3
50,Baseline,run_1,ok,8669,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/baseline/run_1
50,Baseline,run_2,ok,8539,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/baseline/run_2
50,Baseline,run_3,ok,8658,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/baseline/run_3
75,Baseline,run_1,ok,6326,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/baseline/run_1
75,Baseline,run_1,timeout_or_slo_miss,9,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/baseline/run_1
75,Baseline,run_2,ok,6316,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/baseline/run_2
75,Baseline,run_2,timeout_or_slo_miss,10,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/baseline/run_2
