k,condition,run,path,total_requests,ok_count,availability,request_count_locust,failure_count_locust,rps,fps,p50_ms,p95_ms,p99_ms,avg_ms,mean_latency_ms_jsonl,mean_max_subread_ms,mean_mean_subread_ms,corr_latency_vs_maxsubread
1,Baseline,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/baseline/run_01,16992,16992,1.0,16842,0,28.098192098284095,0.0,5.0,7.0,12.0,5.476352221589752,5.490757124706346,5.158878270950481,5.158878270950481,0.9571697322979702
1,Baseline,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/baseline/run_02,16759,16759,1.0,16749,0,27.950187962298813,0.0,5.0,8.0,12.0,5.509906930560884,5.509647048688123,5.197143815679562,5.197143815679562,0.9423517022295501
1,Baseline,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/baseline/run_03,16812,16812,1.0,16805,0,28.03972040205402,0.0,5.0,8.0,12.0,5.577670482654247,5.577438794135447,5.256205933617822,5.256205933617822,0.9585218703982183
25,Baseline,run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/baseline/run_1,19925,19925,1.0,19916,0,22.145020225460108,0.0,81.0,200.0,280.0,94.53784760097066,94.53046269635787,47.892560507755945,33.11316563480821,0.8293293695785017
25,Baseline,run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/baseline/run_2,19861,19861,1.0,19852,0,22.074038755042128,0.0,84.0,200.0,280.0,96.51829108850308,96.50428525401361,49.02547738573016,33.7250195385251,0.827696044692577
25,Baseline,run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/baseline/run_3,19959,19959,1.0,19959,0,22.18448785083212,0.0,82.0,200.0,280.0,95.08719375339362,95.08719375339362,48.029220978354545,33.22429493741306,0.83075828153171
50,Baseline,run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/baseline/run_1,8669,8669,1.0,8669,0,14.456564102337966,0.0,350.0,510.0,580.0,330.05964775579804,330.05964775579804,70.48858908630336,42.74544298136591,0.6364397380575124
50,Baseline,run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/baseline/run_2,8539,8539,1.0,8525,0,14.232961092353136,0.0,360.0,530.0,650.0,339.9416513575379,339.9611093009729,72.04192784775273,43.758272232256985,0.6254886138583184
50,Baseline,run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/baseline/run_3,8658,8658,1.0,8651,0,14.441968377272753,0.0,360.0,510.0,590.0,330.36973092071105,330.3908516525844,71.54914116133365,43.125868857682875,0.627009535398231
75,Baseline,run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/baseline/run_1,6335,6326,0.9985793212312549,6335,9,10.563819299989786,0.0150077937963548,610.0,780.0,850.0,580.1270710214611,580.1270710214611,82.36014907118316,47.614645007333195,0.4099745467090437
75,Baseline,run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/baseline/run_2,6326,6316,0.9984192222573506,6318,10,10.541903595633794,0.0166855074321522,620.0,780.0,860.0,581.9258763543827,581.962656552955,82.17108173459472,47.457775053220146,0.4082705527696707
75,Baseline,run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/baseline/run_3,6285,6261,0.99618138424821,6278,24,10.481784810659052,0.0400705376641951,620.0,790.0,910.0,588.8222832836769,588.7648839855088,84.2831918253036,48.06426456225591,0.40455127707519584
100,Baseline,run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/baseline/run_1,10092,9427,0.9341062227506937,5041,359,8.413514680557714,0.5991771018290457,850.0,1000.0,1100.0,824.3737663471519,822.6652869860242,90.11050479894591,49.80453247605466,0.333836806513744
100,Baseline,run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/baseline/run_2,5077,4788,0.9430766200512114,5071,289,8.465197612409664,0.4824378051639504,840.0,1000.0,1100.0,814.5789858284244,814.5496040315033,89.39938550364248,49.65614481506578,0.35127738617701143
100,Baseline,run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/baseline/run_3,5033,4662,0.9262865090403338,5023,367,8.386097456525444,0.6127210365408796,850.0,1000.0,1100.0,828.0308961648319,828.2617834150512,90.3364955897087,49.94630920549747,0.34949873184956404
1,"Latency 100ms, jitter 30ms",run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/latency_100ms_j50ms/run_01,13576,13576,1.0,13567,0,22.636184679276884,0.0,6.0,280.0,310.0,90.63825409832774,90.61962694475639,90.39882514680298,90.39882514680298,0.9999954395313598
1,"Latency 100ms, jitter 30ms",run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/latency_100ms_j50ms/run_02,13558,13558,1.0,13551,0,22.612865218374942,0.0,6.0,280.0,310.0,90.70579009025188,90.75869598819908,90.53740510443974,90.53740510443974,0.9999950029336497
1,"Latency 100ms, jitter 30ms",run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/latency_100ms_j50ms/run_03,13532,13532,1.0,13523,0,22.565451733492804,0.0,6.0,280.0,320.0,93.41967930836434,93.4517909402166,93.23928247406133,93.23928247406133,0.9999953403619878
25,"Latency 100ms, jitter 30ms",run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/latency_100ms_j50ms/run_1,13186,13186,1.0,13179,0,14.65513432214241,0.0,330.0,410.0,480.0,331.0623813048795,331.0607479321255,309.5089569278787,111.8567441135996,0.8856094090457368
25,"Latency 100ms, jitter 30ms",run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/latency_100ms_j50ms/run_2,13160,13151,0.9993161094224924,13155,9,14.62285172801548,0.0100042315128954,330.0,410.0,490.0,331.9849700432545,332.01692520167273,309.89095910554323,112.33996128590847,0.8436532353403462
25,"Latency 100ms, jitter 30ms",run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/latency_100ms_j50ms/run_3,13141,13141,1.0,13140,0,14.607024712767132,0.0,330.0,410.0,470.0,331.225163051977,331.2259216392191,308.91497791979674,112.23223608313236,0.8713865822869501
50,"Latency 100ms, jitter 30ms",run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/latency_100ms_j50ms/run_1,6757,6732,0.9963001331952049,6748,25,11.266521993412113,0.0417402267094402,520.0,740.0,910.0,531.7802581221182,531.7487494164649,370.1326264836599,123.93924271850175,0.689558608180521
50,"Latency 100ms, jitter 30ms",run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/latency_100ms_j50ms/run_2,6824,6809,0.9978018757327081,6817,15,11.379313810587652,0.025038830447237,510.0,720.0,860.0,521.7540466014026,521.8885619444258,362.97734945825545,121.7840469917233,0.6484972670296308
50,"Latency 100ms, jitter 30ms",run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/latency_100ms_j50ms/run_3,6840,6820,0.9970760233918129,6833,20,11.408480290109898,0.0333923029126588,510.0,730.0,890.0,521.770605981411,521.7137570087706,364.0204147415089,121.19269780241063,0.6879124239041786
75,"Latency 100ms, jitter 30ms",run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/latency_100ms_j50ms/run_1,5318,4908,0.9229033471229786,5318,410,8.8672857300216,0.6836380498888408,740.0,1100.0,1400.0,768.2393163181483,768.2393163181483,410.8206483965839,127.2485650933518,0.6392567855282884
75,"Latency 100ms, jitter 30ms",run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/latency_100ms_j50ms/run_2,5775,5750,0.9956709956709957,5771,25,9.63706406295969,0.0417478082782866,670.0,860.0,950.0,682.1498975511556,682.1640527596061,345.4862015766023,116.6086206937456,0.5259285844930749
75,"Latency 100ms, jitter 30ms",run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/latency_100ms_j50ms/run_3,5457,5146,0.9430089792926516,5449,311,9.099420093525008,0.5193466047139433,720.0,1000.0,1200.0,740.588954173425,740.449518479383,403.46667343412184,125.83020004991646,0.6836198817210181
100,"Latency 100ms, jitter 30ms",run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_1,4531,2980,0.6576914588391084,4528,1551,7.559962319927182,2.5895542310527957,950.0,1300.0,1700.0,963.868730653262,963.770573681962,355.01306862480214,123.1538745545955,0.3791835323563533
100,"Latency 100ms, jitter 30ms",run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_2,4567,3026,0.6625793737683381,4558,1535,7.611320624023405,2.5632683540754555,950.0,1200.0,1600.0,955.713793169378,955.8748462977934,362.5144785176269,124.90968878585194,0.43794343588937407
100,"Latency 100ms, jitter 30ms",run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_3,4483,2628,0.5862145884452375,4482,1854,7.473286133740864,3.0913593243988315,970.0,1300.0,1500.0,981.0876614437624,981.1211836622665,413.90843406847597,130.0952497557286,0.5584585478790248
1,Packet loss 1% / 25,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/packetloss_1percent_25/run_01,16858,16858,1.0,16841,0,28.110457303462393,0.0,5.0,7.0,8.0,4.794798012052409,4.795268734783231,4.581888732830517,4.581888732830517,0.9658833082385734
1,Packet loss 1% / 25,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/packetloss_1percent_25/run_02,16869,16869,1.0,16851,0,28.1267283151102,0.0,5.0,7.0,8.0,4.760401421519744,4.760749530382957,4.550140711072237,4.550140711072237,0.9668788773861737
1,Packet loss 1% / 25,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/packetloss_1percent_25/run_03,16926,16926,1.0,16904,0,28.2146101750861,0.0,5.0,7.0,8.0,4.784733258454213,4.785348060434193,4.577515318680337,4.577515318680337,0.9611150315817085
25,Packet loss 1% / 25,run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/packetloss_1percent_25/run_1,19574,19574,1.0,19561,0,21.761799348396114,0.0,90.0,220.0,290.0,102.63299820831423,102.70237602533126,49.88224844487825,34.72322832373922,0.8224638374063796
25,Packet loss 1% / 25,run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/packetloss_1percent_25/run_2,19978,19978,1.0,19957,0,22.201566780691746,0.0,83.0,190.0,250.0,94.90183534323477,94.87628244879066,47.69088128691451,33.159638591704606,0.8214707155583622
25,Packet loss 1% / 25,run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/packetloss_1percent_25/run_3,19965,19965,1.0,19953,0,22.18984888781154,0.0,83.0,200.0,250.0,94.96430054999558,94.96300407242985,47.39779505264719,32.971086510392176,0.8101892097788027
50,Packet loss 1% / 25,run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/packetloss_1percent_25/run_1,8644,8644,1.0,8644,0,14.412760931569975,0.0,360.0,510.0,600.0,332.62073026492516,332.62073026492516,70.91792130503728,42.92121755244282,0.6238429178435464
50,Packet loss 1% / 25,run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/packetloss_1percent_25/run_2,8630,8630,1.0,8616,0,14.384531828564278,0.0,360.0,510.0,570.0,334.4196378233651,334.2346754631647,70.72135008496447,43.035621273892204,0.6162353505149563
50,Packet loss 1% / 25,run_3,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/packetloss_1percent_25/run_3,8566,8566,1.0,8555,0,14.278571895216292,0.0,360.0,520.0,650.0,338.1619235295377,338.0822067694598,70.85472354460397,42.940837577789296,0.6166360800803542
75,Packet loss 1% / 25,run_1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_1,6644,6615,0.9956351595424443,6641,29,11.07844735825832,0.0483774993810407,570.0,740.0,850.0,538.4975920632439,538.3867092110179,80.1189377043981,45.8269472457755,0.46124868297186983
75,Packet loss 1% / 25,run_2,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_2,6726,6715,0.9983645554564377,6725,11,11.21394563466134,0.0183425133057657,560.0,720.0,800.0,529.3884199470622,529.3630135801358,80.19554782411483,45.61265217083967,0.45183712376106144
