Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772131259,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772131260,10,,Aggregated,0.000000,0.000000,750,750,750,750,760,760,760,760,760,760,760,11,0,750.0,669.3682011818138,125.5351370000426,764.0353879996837,0.0
1772131261,10,,Aggregated,0.000000,0.000000,510,660,750,750,750,760,760,760,760,760,760,24,0,490.0,504.711136958349,71.62107300064235,764.0353879996837,0.0
1772131262,10,,Aggregated,1.000000,0.000000,430,490,560,750,750,760,760,760,760,760,760,37,0,430.0,433.4250264324215,71.62107300064235,764.0353879996837,0.0
1772131263,10,,Aggregated,7.000000,0.000000,440,490,510,560,750,750,760,760,760,760,760,49,0,440.0,428.34843073473985,71.62107300064235,764.0353879996837,0.0
1772131264,10,,Aggregated,11.000000,0.000000,420,460,490,510,750,750,760,760,760,760,760,65,0,420.0,405.0211978307813,71.62107300064235,764.0353879996837,0.0
1772131265,10,,Aggregated,11.750000,0.000000,410,450,480,500,660,750,760,760,760,760,760,83,0,410.0,393.7877867349279,68.08489200011536,764.0353879996837,0.0
1772131266,10,,Aggregated,12.200000,0.000000,410,450,470,490,560,750,760,760,760,760,760,94,0,410.0,392.1275787659668,66.76856999911251,764.0353879996837,0.0
1772131267,10,,Aggregated,12.166667,0.000000,400,440,460,480,550,750,750,760,760,760,760,109,0,400.0,377.65743254125266,66.76856999911251,764.0353879996837,0.0
1772131268,10,,Aggregated,12.000000,0.000000,400,440,450,470,530,750,750,760,760,760,760,120,0,400.0,375.53252831662576,66.76856999911251,764.0353879996837,0.0
1772131269,10,,Aggregated,12.375000,0.000000,400,440,450,460,510,750,750,760,760,760,760,138,0,400.0,371.1899324492454,66.76856999911251,764.0353879996837,0.0
1772131270,10,,Aggregated,13.000000,0.000000,390,430,450,450,510,750,750,760,760,760,760,154,0,390.0,364.98376962336135,66.76856999911251,764.0353879996837,0.0
