condition,k,availability_mean,rps_mean,fps_mean,p50_ms_mean,p95_ms_mean,p99_ms_mean,avg_ms_mean,mean_latency_ms_jsonl_mean,mean_max_subread_ms_mean,mean_mean_subread_ms_mean,corr_latency_vs_maxsubread_mean,availability_std,rps_std,fps_std,p50_ms_std,p95_ms_std,p99_ms_std,avg_ms_std,mean_latency_ms_jsonl_std,mean_max_subread_ms_std,mean_mean_subread_ms_std,corr_latency_vs_maxsubread_std
Baseline,1,1.0,27.789280508831183,0.0,5.0,11.333333333333334,20.333333333333332,6.135732740191368,6.1350173837642386,5.973053047074582,5.973053047074582,0.9999900870654485,0.0,0.044834633484936166,0.0,0.0,0.5773502691896258,2.081665999466133,0.11982446296783957,0.12011848710698471,0.11755381454717996,0.11755381454717996,3.0574746036770375e-06
Baseline,25,1.0,26.624475669977272,0.0,17.333333333333332,33.0,82.0,21.695316112309825,21.694331533333635,20.207758982494965,8.817478010823143,0.9985985676507744,0.0,0.09953461775190062,0.0,0.5773502691896255,1.0,13.228756555322953,0.741287144347405,0.7400668367691605,0.7336551650058907,0.17306613281163954,0.0006131746106279547
Baseline,50,1.0,25.31807025302116,0.0,34.333333333333336,69.0,123.33333333333333,40.46509136249594,40.46320941096558,29.736554328259427,11.018008692925932,0.9813424382028214,0.0,0.07409492958918751,0.0,0.5773502691896263,1.7320508075688772,5.773502691896256,0.4131529406253067,0.4170537931962737,0.3253446224763584,0.1293536387025935,0.0017894373210885354
Baseline,75,0.9995978911862848,23.566586367982822,0.009460631987197833,59.333333333333336,123.33333333333333,223.33333333333334,69.39720295732349,69.40215663402331,41.22634463143381,14.013239852347176,0.9581896881755355,0.00036472645516008427,0.1273291059688314,0.008567342702005,1.5275252316519474,5.773502691896256,23.094010767585033,1.8405256582622163,1.8275475234533392,1.1935337644331008,0.36686551935992984,0.004193736947900191
Baseline,100,0.9992348253415594,21.79352633760789,0.016695754556043534,92.66666666666667,186.66666666666666,286.6666666666667,104.62059645900905,104.60642082069853,50.874962410567235,16.80362166741908,0.9268879870352679,2.4390019889424007e-06,0.07054714017189684,9.531632241599604e-07,1.5275252316519452,5.77350269189626,15.275252316519461,1.3645274249262498,1.3434216929478584,0.8457817375490803,0.23356057215285442,0.005961817235129201
"Latency 100ms, jitter 30ms",1,0.6664327994551194,14.016892960403501,4.672486698067574,99.0,1000.0,1000.0,362.2237231640495,362.4035275475335,43.47371979665176,43.47371979665176,0.9999959345389492,0.0028034318969222156,0.06913220038023331,0.014661367548623593,1.0,0.0,0.0,3.746880348627537,3.8972538353723487,1.271934386915712,1.271934386915712,9.405474533597449e-07
"Latency 100ms, jitter 30ms",25,0.0,10.992501886243558,10.992501886243558,510.0,823.3333333333334,1000.0,558.3545388853939,558.3206889648785,186.25634668556162,59.79827484905754,0.5733261276948839,0.0,0.09098101124502453,0.09098101124502453,0.0,162.58331197676264,0.0,7.73548119900928,7.738990407333281,34.428762313648775,11.482410392312492,0.15145602925099264
"Latency 100ms, jitter 30ms",50,0.0,8.42008060559724,8.42008060559724,716.6666666666666,1233.3333333333333,1500.0,836.9344808693498,836.9131381147021,221.74059448694092,56.53739805278125,0.5677423756127865,0.0,0.30429414010226047,0.30429414010226047,41.63331998932264,152.75252316519467,0.0,43.47690362861089,43.50040774030814,30.195368264117064,11.588737812311118,0.09975642764160889
"Latency 100ms, jitter 30ms",75,0.0,6.424364009224341,6.424364009224341,1000.0,1666.6666666666667,4533.333333333333,1206.1962253047186,1206.2111923664088,210.55400309527985,46.36882887192261,0.7033357849100715,0.0,0.31614098593482165,0.31614098593482165,0.0,152.75252316519467,2779.0885796126277,77.19066446839311,77.22531942504567,1.5742682899725098,0.6586845708827719,0.06489696175952363
"Latency 100ms, jitter 30ms",100,0.0,5.294411491966048,5.294411491966048,1200.0,3100.0,5900.0,1537.0995196067026,1536.9997825144603,224.08518939539252,45.73299723200093,0.7424400491667953,0.0,0.13630408518073503,0.13630408518073503,0.0,818.535277187245,1081.6653826391969,48.84724666092006,48.96557761343986,5.505915541192923,0.42218403433382656,0.05046215651518375
Packet loss 1% / 25,1,1.0,28.1031933970624,0.0,3.0,9.0,13.0,4.507182522896167,4.506477712336841,4.278504924428128,4.278504924428128,0.9999662472916127,0.0,0.08489070732091578,0.0,0.0,0.0,0.0,0.05914088802818416,0.05869301365054309,0.06015610843840511,0.06015610843840511,3.194735128159673e-05
Packet loss 1% / 25,25,0.26677306801752804,13.795255151938202,9.499718941088974,350.0,520.0,1000.0,395.86821494413425,395.8804893735049,25.398469683430047,10.772193664959003,0.5337826200082738,0.3051906780040894,3.0289615738828757,2.3232866473183935,268.51443164195103,17.320508075688775,0.0,153.9228885621327,153.94190420635096,4.469671093306863,1.5727763981587177,0.1631406582575581
Packet loss 1% / 25,50,0.5236123628170448,14.716345193254432,6.80695201006684,369.0,880.0,1000.0,336.6805685924854,336.68092027964457,45.51882643192704,13.635879792427223,0.6054523114024605,0.1549498354836242,1.9731946738526192,1.4274027268952778,252.92884374859267,207.84609690826528,0.0,89.45110557061288,89.43961379592912,8.327574082298577,3.1370525721939857,0.03570836429126213
Packet loss 1% / 25,75,0.2846658928697224,9.413547610116003,6.459700509281519,866.6666666666666,1000.0,1133.3333333333333,734.9732849165853,734.8914067374029,45.85240444903508,10.102927510776881,0.673649252599004,0.24658861570745494,1.6782909857547625,0.8919693396243521,230.9401076758503,0.0,152.7525231651947,213.99331062266958,214.06078017990345,4.587547494323561,1.5974748327779467,0.15137928296187264
Packet loss 1% / 25,100,0.3360736199494126,9.02724196482969,5.930830226692429,1000.0,1400.0,1500.0,763.4530184725808,763.3862824899147,50.64470310340831,9.239367866744468,0.6968860118531183,0.10340830499349427,0.9086298161515965,0.3846625124413131,0.0,173.20508075688772,0.0,106.22227811877617,106.27457910563996,2.5852338131337302,0.40323523083236135,0.022257441578705607
