k,condition,run,outcome,count,path
1,Baseline,run_01,ok,16637,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/baseline/run_01
1,Baseline,run_02,ok,16690,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/baseline/run_02
1,Baseline,run_03,ok,16673,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/baseline/run_03
25,Baseline,run_01,ok,15927,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/baseline/run_01
25,Baseline,run_02,ok,16036,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/baseline/run_02
25,Baseline,run_03,ok,15942,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/baseline/run_03
50,Baseline,run_01,ok,15228,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/baseline/run_01
50,Baseline,run_02,ok,15141,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/baseline/run_02
50,Baseline,run_03,ok,15186,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/baseline/run_03
75,Baseline,run_01,ok,14043,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_01
75,Baseline,run_01,timeout_or_slo_miss,10,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_01
75,Baseline,run_02,ok,14142,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_02
75,Baseline,run_02,timeout_or_slo_miss,7,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_02
75,Baseline,run_03,ok,14201,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_03
100,Baseline,run_01,ok,13084,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_01
100,Baseline,run_01,timeout_or_slo_miss,10,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_01
100,Baseline,run_02,ok,13082,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_02
100,Baseline,run_02,timeout_or_slo_miss,10,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_02
100,Baseline,run_03,ok,13011,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_03
100,Baseline,run_03,timeout_or_slo_miss,10,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_03
1,"Latency 100ms, jitter 30ms",run_01,ok,5543,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/latency_100ms_j50ms/run_01
1,"Latency 100ms, jitter 30ms",run_01,timeout_or_slo_miss,2815,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/latency_100ms_j50ms/run_01
1,"Latency 100ms, jitter 30ms",run_02,ok,5627,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/latency_100ms_j50ms/run_02
