k,condition,run,path,total_requests,ok_count,availability,request_count_locust,failure_count_locust,rps,fps,p50_ms,p95_ms,p99_ms,avg_ms,mean_latency_ms_jsonl,mean_max_subread_ms,mean_mean_subread_ms,corr_latency_vs_maxsubread
1,Baseline,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/baseline/run_01,16637,16637,1.0,16625,0,27.741441221152915,0.0,5.0,11.0,18.0,6.010196456302906,6.0090121080745265,5.849430904310161,5.849430904310161,0.9999935467500547
1,Baseline,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/baseline/run_02,16690,16690,1.0,16681,0,27.83033772179652,0.0,5.0,12.0,22.0,6.248883250044797,6.248224143139509,6.083413821631401,6.083413821631401,0.9999877480534063
1,Baseline,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/baseline/run_03,16673,16673,1.0,16660,0,27.79606258354412,0.0,5.0,11.0,21.0,6.1481185142264,6.1478159000786805,5.986314415282182,5.986314415282182,0.9999889663928843
25,Baseline,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/baseline/run_01,15927,15927,1.0,15919,0,26.553114940684974,0.0,18.0,34.0,92.0,22.53307311024893,22.530216901051993,21.035303158972223,9.012533101052501,0.9991270711134012
25,Baseline,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/baseline/run_02,16036,16036,1.0,16028,0,26.73818086956186,0.0,17.0,32.0,67.0,21.12435526828415,21.122536121480227,19.637054175794713,8.682307137506927,0.9987423553423267
25,Baseline,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/baseline/run_03,15942,15942,1.0,15936,0,26.58213119968498,0.0,17.0,33.0,87.0,21.428519958396393,21.430241577468678,19.950919612717964,8.757593793910003,0.9979262764965955
50,Baseline,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/baseline/run_01,15228,15228,1.0,15220,0,25.39317946655031,0.0,34.0,68.0,120.0,40.15045305663473,40.147683421524796,29.46485508011178,10.913184602827286,0.9833347977570578
50,Baseline,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/baseline/run_02,15141,15141,1.0,15133,0,25.245033071334504,0.0,35.0,71.0,130.0,40.93297034011565,40.93603807964929,30.097089871543346,11.162568968814725,0.9798719552725546
50,Baseline,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/baseline/run_03,15186,15186,1.0,15175,0,25.31599822117866,0.0,34.0,68.0,120.0,40.31185069073743,40.30590673172265,29.64771803312315,10.978272507135783,0.9808205615788521
75,Baseline,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_01,14053,14043,0.9992884081690743,14033,10,23.4284903221495,0.0166952827778447,61.0,130.0,210.0,71.38054747231995,71.38038547662917,42.52676249527591,14.414715427058571,0.9621017911152453
75,Baseline,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_02,14149,14142,0.9995052653897802,14131,7,23.59193298565065,0.0116866131837488,59.0,120.0,250.0,69.06681210728104,69.04935026326832,40.97136712714993,13.929563294601664,0.9537619940272137
75,Baseline,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/baseline/run_03,14201,14201,1.0,14191,0,23.679335796148315,0.0,58.0,120.0,210.0,67.74424929236949,67.77673416217243,40.18090427187559,13.695440835381296,0.9587052793841475
100,Baseline,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_01,13094,13084,0.9992362914311899,13077,10,21.832336740789884,0.0166952181240268,93.0,180.0,270.0,104.21467103158278,104.18556856613777,50.33863687528833,16.773237067840483,0.92000945473862
100,Baseline,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_02,13092,13082,0.9992361747632141,13078,10,21.836147045442484,0.0166968550584512,91.0,190.0,290.0,103.50509282734114,103.52381006530456,50.43629214436673,16.586740438029143,0.9305672736578503
100,Baseline,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/baseline/run_03,13021,13011,0.9992320098302742,13005,10,21.712095226591305,0.0166951904856526,94.0,190.0,300.0,106.14202551810324,106.10988383065329,51.84995821204664,17.05088749638761,0.930087232709333
1,"Latency 100ms, jitter 30ms",run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/latency_100ms_j50ms/run_01,8358,5543,0.6631969370662838,8346,2808,13.93790623615585,4.689389014033744,100.0,1000.0,1000.0,366.5426575782644,366.8829885558993,44.89898234602665,44.89898234602665,0.9999964460381765
1,"Latency 100ms, jitter 30ms",run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/latency_100ms_j50ms/run_02,8424,5627,0.6679724596391263,8413,2793,14.046382114718517,4.663205187972045,99.0,1000.0,1000.0,359.8424080558623,359.79042154439253,43.06815054115697,43.06815054115697,0.9999965084916422
1,"Latency 100ms, jitter 30ms",run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/latency_100ms_j50ms/run_03,8434,5635,0.6681290016599478,8425,2794,14.066390530336136,4.664865892196934,98.0,1000.0,1000.0,360.2861038580217,360.5371725423087,42.45402650277165,42.45402650277165,0.9999948490870292
25,"Latency 100ms, jitter 30ms",run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/latency_100ms_j50ms/run_01,6627,0,0.0,6622,6622,11.050409966999704,11.050409966999704,510.0,680.0,1000.0,553.241256426609,553.204069939491,182.41965859341113,58.61849569361252,0.642722355987263
25,"Latency 100ms, jitter 30ms",run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/latency_100ms_j50ms/run_02,6530,0,0.0,6525,6525,10.887636482786416,10.887636482786416,510.0,1000.0,1000.0,567.2537684076474,567.2238491327554,153.9066364709645,48.95130125212552,0.6776497795444245
25,"Latency 100ms, jitter 30ms",run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/latency_100ms_j50ms/run_03,6621,0,0.0,6615,6615,11.03945920894455,11.03945920894455,510.0,790.0,1000.0,554.5685918219253,554.534147822389,222.4427449923092,71.82502760143458,0.39960624755296426
50,"Latency 100ms, jitter 30ms",run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/latency_100ms_j50ms/run_01,4923,0,0.0,4923,4923,8.215220689366648,8.215220689366648,730.0,1400.0,1500.0,866.3265030117826,866.3265030117826,215.92568498842135,54.054632400287424,0.46725400987772076
50,"Latency 100ms, jitter 30ms",run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/latency_100ms_j50ms/run_02,4963,0,0.0,4961,4961,8.2752875171694,8.2752875171694,750.0,1100.0,1500.0,857.485071406169,857.4687010235754,254.42052621156617,69.16630695445768,0.5692227284447561
50,"Latency 100ms, jitter 30ms",run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/latency_100ms_j50ms/run_03,5260,0,0.0,5250,5250,8.769733610255674,8.769733610255674,670.0,1200.0,1500.0,786.991868190098,786.9442103087479,194.87557226083518,46.39125480359865,0.6667503885158826
75,"Latency 100ms, jitter 30ms",run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_01,4006,0,0.0,4002,4002,6.680436055027985,6.680436055027985,1000.0,1500.0,2500.0,1144.6785177396334,1144.7092883944115,212.23224284473412,46.9030106692519,0.7384455362621416
75,"Latency 100ms, jitter 30ms",run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_02,3640,0,0.0,3636,3636,6.071016083604768,6.071016083604768,1000.0,1800.0,7700.0,1292.8127323052809,1292.8807174401102,210.3198246692291,46.57062252138314,0.6284477193209161
75,"Latency 100ms, jitter 30ms",run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_03,3910,0,0.0,3908,3908,6.521639889040269,6.521639889040269,1000.0,1700.0,3400.0,1181.0974258692413,1181.043571264705,209.1099417718763,45.63285342513278,0.743114099147157
100,"Latency 100ms, jitter 30ms",run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_01,3210,0,0.0,3205,3205,5.351292070240222,5.351292070240222,1200.0,3300.0,5000.0,1515.810770069894,1515.898055305922,219.33015491153418,45.37656036207067,0.7626440608973108
100,"Latency 100ms, jitter 30ms",run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_02,3080,0,0.0,3080,3080,5.1388796865961535,5.1388796865961535,1200.0,3800.0,7100.0,1592.9782327003445,1592.9782327003445,230.11747629350228,46.199232901106875,0.6850064716747913
100,"Latency 100ms, jitter 30ms",run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_03,3234,0,0.0,3229,3229,5.393062719061766,5.393062719061766,1200.0,2200.0,5600.0,1502.5095560498698,1502.1230595371144,222.80793698114113,45.62319843282525,0.7796696149282835
1,Packet loss 1% / 25,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/packetloss_1percent_25/run_01,16813,16813,1.0,16813,0,28.053917538033197,0.0,3.0,9.0,13.0,4.449574979004294,4.449574979004294,4.218517476535896,4.218517476535896,0.9999293956468465
1,Packet loss 1% / 25,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/packetloss_1percent_25/run_02,16913,16913,1.0,16900,0,28.201216266974512,0.0,3.0,9.0,13.0,4.567745904440171,4.566810563533271,4.3388282865848415,4.3388282865848415,0.999986122411215
1,Packet loss 1% / 25,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/packetloss_1percent_25/run_03,16825,16825,1.0,16813,0,28.054446386179496,0.0,3.0,9.0,13.0,4.504226685244035,4.5030475944729575,4.278169010163644,4.278169010163644,0.9999832238167765
25,Packet loss 1% / 25,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_01,7766,1559,0.2007468452227659,7758,6200,12.95098961176252,10.350107707260586,500.0,510.0,1000.0,420.69083041428576,420.7806658077553,29.509140603402454,12.477610939883345,0.5077379930182019
25,Packet loss 1% / 25,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_02,10289,6169,0.5995723588298183,10285,4119,17.15677901361507,6.871052285569321,40.0,510.0,1000.0,231.04255767389665,231.0063355340681,26.045863977435694,10.460123111058593,0.3852310110083094
25,Packet loss 1% / 25,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_03,6760,0,0.0,6756,6756,11.277996830437017,11.277996830437017,510.0,540.0,1000.0,535.8712567442202,535.8544667786912,20.640404469451987,9.378846943935072,0.7083788559983101
50,Packet loss 1% / 25,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_01,10095,6969,0.6903417533432392,10093,3125,16.832658444085467,5.211736613273267,77.0,640.0,1000.0,243.34360059486815,243.355632987519,53.30224341367058,16.151735174206394,0.5882750859347513
50,Packet loss 1% / 25,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_02,8629,4284,0.4964654073473172,8629,4345,14.389222690974124,7.245471386288396,510.0,1000.0,1000.0,345.0390265985626,345.0390265985626,46.51713891876085,14.634930748797842,0.6465031248362229
50,Packet loss 1% / 25,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_03,7752,2977,0.3840299277605779,7743,4770,12.927154444703698,7.963648030638853,520.0,1000.0,1000.0,421.65907858402545,421.6481012528521,36.737096963349686,10.120973454277436,0.5815787234364072
75,Packet loss 1% / 25,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_01,6104,2573,0.4215268676277851,6099,3529,10.18720086554709,5.894512519186044,1000.0,1000.0,1000.0,631.0304297950481,630.8071152545868,51.149002403014215,11.765412876436272,0.6298251125967469
75,Packet loss 1% / 25,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_02,6338,2741,0.4324708109813821,6327,3591,10.565472461079311,5.996619504936907,600.0,1000.0,1100.0,592.8054605391184,592.7767529297888,43.13248425938898,9.963806672773078,0.549016889492465
75,Packet loss 1% / 25,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_03,4491,0,0.0,4490,4490,7.487969503721606,7.487969503721606,1000.0,1000.0,1300.0,981.0839644155894,981.0903520278328,43.275726684702036,8.579562983121292,0.8421057557078
100,Packet loss 1% / 25,run_01,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_01,5084,1403,0.275963808025177,5078,3676,8.47430187277964,6.134606869700267,1000.0,1500.0,1500.0,827.3402496502574,827.3931801107408,53.472084665231286,9.303098847742394,0.7137296300269724
100,Packet loss 1% / 25,run_02,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_02,5116,1416,0.2767787333854574,5110,3696,8.531506673038116,6.170733593649486,1000.0,1500.0,1500.0,822.1845849242557,822.0560047765728,48.40163364151475,8.80806223939117,0.7052753032875595
100,Packet loss 1% / 25,run_03,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_03,6042,2752,0.45547831843760345,6034,3286,10.075917348671313,5.4871502167275334,1000.0,1200.0,1500.0,640.8342208432292,640.7096625824305,50.060391003478905,9.606942513099838,0.6716531022448229
