Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774038459,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774038460,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774038461,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774038462,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774038463,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774038464,10,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,2,0,122.85720699992453,126.94609000004675,122.85720699992453,131.03497300016897,0.0
1774038465,10,,Aggregated,0.000000,0.000000,270,310,310,480,500,500,520,520,520,520,520,22,0,260.0,299.28110377274857,122.85720699992453,522.7311800003918,0.0
1774038466,10,,Aggregated,0.000000,0.000000,240,260,290,310,490,500,520,520,520,520,520,38,0,240.0,222.21993260526878,3.4479769997233234,522.7311800003918,0.0
1774038467,10,,Aggregated,2.333333,0.000000,140,240,250,270,310,490,500,520,520,520,520,65,0,140.0,148.66855393846402,1.9245250000494707,522.7311800003918,0.0
1774038468,10,,Aggregated,5.142857,0.000000,8,140,220,250,310,480,500,520,520,520,520,93,0,8,105.54754367741782,1.9245250000494707,522.7311800003918,0.0
1774038469,10,,Aggregated,7.500000,0.000000,7,14,150,220,290,320,500,500,520,520,520,119,0,7,83.72954905041657,1.9245250000494707,522.7311800003918,0.0
1774038470,10,,Aggregated,9.777778,0.000000,6,9,17,150,260,310,500,500,520,520,520,148,0,6,68.28089149323782,1.9245250000494707,522.7311800003918,0.0
1774038471,10,,Aggregated,11.400000,0.000000,6,8,14,130,250,310,490,500,520,520,520,174,0,6,59.01850533333585,1.9245250000494707,522.7311800003918,0.0
1774038472,10,,Aggregated,14.100000,0.000000,6,8,11,15,240,310,490,500,520,520,520,199,0,6,52.2095549698582,1.9245250000494707,522.7311800003918,0.0
1774038473,10,,Aggregated,16.600000,0.000000,5,8,10,12,240,290,480,500,520,520,520,229,0,5,46.08182788647494,1.9245250000494707,522.7311800003918,0.0
1774038474,10,,Aggregated,19.400000,0.000000,5,7,9,11,210,270,320,500,520,520,520,258,0,5,41.5616949535028,1.9245250000494707,522.7311800003918,0.0
1774038475,10,,Aggregated,22.100000,0.000000,6,7,9,11,160,260,320,500,520,520,520,284,0,6,38.36253327817854,1.9245250000494707,522.7311800003918,0.0
1774038476,10,,Aggregated,24.800000,0.000000,5,7,9,10,140,260,310,490,520,520,520,312,0,5,35.3624682948824,1.9245250000494707,522.7311800003918,0.0
1774038477,10,,Aggregated,26.400000,0.000000,5,7,9,10,130,250,310,490,520,520,520,342,0,5,33.04335364620985,1.9245250000494707,522.7311800003918,0.0
1774038478,10,,Aggregated,26.900000,0.000000,5,7,8,10,61,250,310,490,520,520,520,367,0,5,31.12051262671195,1.90760199984652,522.7311800003918,0.0
1774038479,10,,Aggregated,27.400000,0.000000,5,7,8,9,18,240,310,490,520,520,520,393,0,5,29.373551590338334,1.90760199984652,522.7311800003918,0.0
1774038480,10,,Aggregated,27.100000,0.000000,5,7,8,9,16,240,310,480,520,520,520,424,0,5,27.621542575477978,1.90760199984652,522.7311800003918,0.0
1774038481,10,,Aggregated,27.400000,0.000000,5,7,8,9,15,240,310,480,520,520,520,449,0,5,26.402033209360766,1.90760199984652,522.7311800003918,0.0
1774038482,10,,Aggregated,27.500000,0.000000,5,7,8,9,14,220,310,480,520,520,520,476,0,5,25.228054707988022,1.90760199984652,522.7311800003918,0.0
1774038483,10,,Aggregated,27.500000,0.000000,5,7,8,9,13,210,300,320,520,520,520,505,0,5,24.04822153267911,1.90760199984652,522.7311800003918,0.0
1774038484,10,,Aggregated,27.700000,0.000000,5,7,8,9,13,180,300,320,520,520,520,536,0,5,22.94931781530458,1.90760199984652,522.7311800003918,0.0
1774038485,10,,Aggregated,27.600000,0.000000,5,6,8,9,12,160,290,320,520,520,520,565,0,5,22.02384658938703,1.90760199984652,522.7311800003918,0.0
1774038486,10,,Aggregated,28.000000,0.000000,5,6,8,8,12,150,290,320,520,520,520,592,0,5,21.254314449330913,1.90760199984652,522.7311800003918,0.0
1774038487,10,,Aggregated,28.000000,0.000000,5,6,7,8,12,140,270,310,520,520,520,623,0,5,20.458422097919865,1.90760199984652,522.7311800003918,0.0
1774038488,10,,Aggregated,28.100000,0.000000,5,6,7,8,12,140,270,310,520,520,520,648,0,5,19.857454407414295,1.90760199984652,522.7311800003918,0.0
1774038489,10,,Aggregated,27.900000,0.000000,5,6,7,8,11,130,270,310,520,520,520,676,0,5,19.250522562137412,1.90760199984652,522.7311800003918,0.0
1774038490,10,,Aggregated,28.100000,0.000000,5,6,7,8,11,120,260,310,520,520,520,706,0,5,18.665149182728392,1.90760199984652,522.7311800003918,0.0
1774038491,10,,Aggregated,28.000000,0.000000,5,6,7,8,11,61,260,310,520,520,520,734,0,5,18.10564206267702,1.90760199984652,522.7311800003918,0.0
1774038492,10,,Aggregated,28.000000,0.000000,5,6,7,8,11,26,260,310,520,520,520,762,0,5,17.624005152237643,1.90760199984652,522.7311800003918,0.0
1774038493,10,,Aggregated,28.500000,0.000000,5,6,7,8,11,19,260,310,520,520,520,792,0,5,17.140906521471305,1.90760199984652,522.7311800003918,0.0
1774038494,10,,Aggregated,28.200000,0.000000,5,6,7,8,11,19,250,310,520,520,520,820,0,5,16.78939910976324,1.90760199984652,522.7311800003918,0.0
1774038495,10,,Aggregated,28.700000,0.000000,5,6,7,8,10,18,250,310,520,520,520,852,0,5,16.345785395546613,1.90760199984652,522.7311800003918,0.0
1774038496,10,,Aggregated,28.400000,0.000000,5,6,7,8,10,17,250,310,520,520,520,882,0,5,15.968779706356429,1.90760199984652,522.7311800003918,0.0
1774038497,10,,Aggregated,28.400000,0.000000,5,6,7,8,10,17,250,310,520,520,520,912,0,5,15.672390982463943,1.90760199984652,522.7311800003918,0.0
1774038498,10,,Aggregated,28.800000,0.000000,5,6,7,8,10,16,250,310,520,520,520,938,0,5,15.360773340092146,1.90760199984652,522.7311800003918,0.0
1774038499,10,,Aggregated,28.900000,0.000000,5,6,7,8,10,16,240,310,520,520,520,963,0,5,15.11983148183506,1.90760199984652,522.7311800003918,0.0
1774038500,10,,Aggregated,28.800000,0.000000,5,6,7,8,10,15,240,310,520,520,520,991,0,5,14.82737338446657,1.90760199984652,522.7311800003918,0.0
1774038501,10,,Aggregated,28.800000,0.000000,5,6,7,8,10,16,240,300,500,520,520,1017,0,5,14.605875116035149,1.90760199984652,522.7311800003918,0.0
1774038502,10,,Aggregated,28.600000,0.000000,5,6,7,8,10,15,240,300,500,520,520,1044,0,5,14.344275815141325,1.90760199984652,522.7311800003918,0.0
1774038503,10,,Aggregated,28.200000,0.000000,5,6,7,8,10,15,240,300,500,520,520,1075,0,5,14.040500600007531,1.90760199984652,522.7311800003918,0.0
1774038504,10,,Aggregated,28.100000,0.000000,5,6,7,8,10,14,240,290,500,520,520,1105,0,5,13.797891571047993,1.8972009997924033,522.7311800003918,0.0
1774038505,10,,Aggregated,28.100000,0.000000,5,6,7,8,10,14,240,290,500,520,520,1133,0,5,13.586371855257992,1.8972009997924033,522.7311800003918,0.0
1774038506,10,,Aggregated,28.200000,0.000000,5,6,7,8,10,14,220,290,500,520,520,1160,0,5,13.387708837075056,1.8972009997924033,522.7311800003918,0.0
1774038507,10,,Aggregated,28.300000,0.000000,5,6,7,8,10,14,220,290,500,520,520,1190,0,5,13.177902162190648,1.8972009997924033,522.7311800003918,0.0
1774038508,10,,Aggregated,27.700000,0.000000,5,6,7,8,10,13,210,270,500,520,520,1217,0,5,12.990693511919439,1.8972009997924033,522.7311800003918,0.0
1774038509,10,,Aggregated,27.900000,0.000000,5,6,7,8,10,13,210,270,500,520,520,1248,0,5,12.798225659459389,1.8972009997924033,522.7311800003918,0.0
