Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774170708,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774170709,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774170710,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774170711,10,,Aggregated,0.000000,0.000000,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,4,4,2500.0,2455.362469250076,2077.295795000282,2645.846209999945,0.0
1774170712,10,,Aggregated,0.000000,0.000000,2100,2500,2600,2600,2600,2600,2600,2600,2600,2600,2600,8,8,1019.5825169998898,1739.7551748750288,1019.5825169998898,2645.846209999945,0.0
1774170713,10,,Aggregated,0.000000,0.000000,2600,4100,4200,4200,4200,4300,4300,4300,4300,4300,4300,15,15,2600.0,2661.7248404666802,1018.7793109998893,4256.424785000036,0.0
1774170714,10,,Aggregated,1.333333,1.333333,1100,2600,4100,4100,4200,4200,4300,4300,4300,4300,4300,23,23,1100.0,2094.2835954782936,1006.6391740001563,4256.424785000036,0.0
1774170715,10,,Aggregated,3.000000,3.000000,1000,1100,2600,4100,4200,4200,4300,4300,4300,4300,4300,30,30,1005.5873490000522,1846.0845971333727,1005.5873490000522,4256.424785000036,0.0
1774170716,10,,Aggregated,3.000000,3.000000,1000,1300,2600,3200,4200,4200,4300,4300,4300,4300,4300,34,34,1000.0,1809.7635508823732,503.8303649998852,4256.424785000036,0.0
1774170717,10,,Aggregated,4.000000,4.000000,1000,1100,2100,2600,4100,4200,4300,4300,4300,4300,4300,43,43,1000.0,1640.6858601395609,503.8303649998852,4256.424785000036,0.0
1774170718,10,,Aggregated,4.000000,4.000000,1000,1100,1300,2100,4100,4200,4200,4300,4300,4300,4300,51,51,1000.0,1553.896706451009,503.8303649998852,4256.424785000036,0.0
1774170719,10,,Aggregated,4.666667,4.666667,1000,1000,1100,1900,4100,4200,4200,4300,4300,4300,4300,60,60,1000.0,1428.6899037000378,503.8303649998852,4256.424785000036,0.0
1774170720,10,,Aggregated,5.100000,5.100000,1000,1000,1100,1100,2600,4200,4200,4300,4300,4300,4300,72,72,1000.0,1297.6543109722522,503.52413100017657,4256.424785000036,0.0
1774170721,10,,Aggregated,5.900000,5.900000,1000,1000,1000,1100,2600,4100,4200,4300,4300,4300,4300,85,82,1000.0,1159.5728144117954,20.86042600012661,4256.424785000036,0.0
1774170722,10,,Aggregated,7.000000,7.000000,1000,1000,1000,1100,2500,4100,4200,4300,4300,4300,4300,97,91,1000.0,1067.1741223196123,20.86042600012661,4256.424785000036,0.0
1774170723,10,,Aggregated,8.000000,7.700000,890,1000,1000,1000,1900,4100,4200,4200,4300,4300,4300,111,103,890.0,991.9471405856043,14.399281999885716,4256.424785000036,0.0
1774170724,10,,Aggregated,9.000000,8.400000,540,1000,1000,1000,1300,3200,4200,4200,4300,4300,4300,124,113,540.0,929.1842782580815,14.399281999885716,4256.424785000036,0.0
1774170725,10,,Aggregated,9.300000,8.500000,510,1000,1000,1000,1200,3200,4200,4200,4300,4300,4300,136,123,510.0,884.5520336691376,10.484025000096153,4256.424785000036,0.0
1774170726,10,,Aggregated,9.900000,8.800000,510,1000,1000,1000,1100,2600,4200,4200,4300,4300,4300,149,133,510.0,846.1302936711668,10.484025000096153,4256.424785000036,0.0
1774170727,10,,Aggregated,10.500000,9.200000,510,890,1000,1000,1100,2600,4200,4200,4300,4300,4300,163,145,510.0,811.046151049104,10.484025000096153,4256.424785000036,0.0
1774170728,10,,Aggregated,10.500000,9.200000,510,600,1000,1000,1100,2600,4200,4200,4300,4300,4300,175,154,510.0,781.7921752914503,10.484025000096153,4256.424785000036,0.0
1774170729,10,,Aggregated,11.900000,10.100000,510,540,1000,1000,1100,2500,4200,4200,4300,4300,4300,188,165,510.0,757.5003141383175,10.484025000096153,4256.424785000036,0.0
1774170730,10,,Aggregated,12.400000,10.300000,510,510,1000,1000,1000,2100,4100,4200,4300,4300,4300,201,175,510.0,734.1037323383224,10.484025000096153,4256.424785000036,0.0
1774170731,10,,Aggregated,12.700000,10.400000,510,510,1000,1000,1000,2100,4100,4200,4300,4300,4300,213,185,510.0,717.5456879436778,10.484025000096153,4256.424785000036,0.0
1774170732,10,,Aggregated,13.000000,10.500000,510,510,710,1000,1000,1900,4100,4200,4300,4300,4300,229,197,510.0,695.3699033493608,10.484025000096153,4256.424785000036,0.0
1774170733,10,,Aggregated,12.800000,10.300000,510,510,600,1000,1000,1300,4100,4200,4300,4300,4300,242,207,510.0,679.1973222520838,10.484025000096153,4256.424785000036,0.0
1774170734,10,,Aggregated,12.900000,10.400000,510,510,540,1000,1000,1300,4100,4200,4300,4300,4300,254,216,510.0,665.6432909606415,10.484025000096153,4256.424785000036,0.0
1774170735,10,,Aggregated,13.100000,10.500000,510,510,520,1000,1000,1200,4100,4200,4300,4300,4300,266,226,510.0,654.7523410225641,10.484025000096153,4256.424785000036,0.0
1774170736,10,,Aggregated,13.000000,10.400000,510,510,510,720,1000,1100,4100,4200,4300,4300,4300,281,238,510.0,641.6266264804366,10.484025000096153,4256.424785000036,0.0
1774170737,10,,Aggregated,13.000000,10.400000,510,510,510,700,1000,1100,4100,4200,4300,4300,4300,294,249,510.0,633.5622657347035,10.484025000096153,4256.424785000036,0.0
1774170738,10,,Aggregated,13.000000,10.200000,510,510,510,600,1000,1100,3200,4200,4300,4300,4300,306,259,510.0,625.396185565372,10.484025000096153,4256.424785000036,0.0
1774170739,10,,Aggregated,13.000000,10.200000,510,510,510,540,1000,1100,3200,4200,4300,4300,4300,318,268,510.0,616.3610398490694,10.484025000096153,4256.424785000036,0.0
